avg_energy_usage,avg_water_usage,avg_transport_distance,avg_recycling_percentage,avg_efficiency,total_energy_usage,total_water_usage,product_lifetime,reuse_percentage,recycle_percentage,landfill_percentage,metal_type,production_route,region,sustainability_score,circularity_index,co2_emissions
19.32,9.69,1354.2,81.1,97.8,3934.08,3208.75,25,47.7,40.4,11.9,Iron Ore,Secondary,Asia,7.34,0.88,360.15
8.75,3.82,798.0,5.5,69.6,3503.84,1079.41,29,36.9,34.0,29.1,Aluminum,Primary,South America,5.63,0.71,291.49
7.14,6.53,274.7,53.8,76.6,3232.69,1676.79,24,36.7,45.2,18.1,Iron Ore,Secondary,North America,6.39,0.82,345.83
17.63,1.55,325.9,7.1,79.8,6919.89,278.78,12,3.6,44.9,51.5,Steel,Secondary,South America,4.82,0.48,1138.44
6.02,7.66,1899.1,93.4,71.2,4867.6,4395.03,19,44.8,2.7,52.5,Copper,Primary,Africa,4.51,0.48,764.49
19.34,8.6,1760.4,76.6,60.6,10595.14,5376.12,15,22.2,30.5,47.3,Copper,Primary,North America,4.45,0.53,1582.69
2.22,4.19,1815.0,65.8,68.4,1317.56,3017.75,8,33.0,6.2,60.8,Iron Ore,Secondary,Asia,4.01,0.39,67.12
19.46,14.5,1983.2,82.4,70.7,16742.66,10094.94,12,48.0,3.9,48.1,Titanium,Secondary,Oceania,4.72,0.52,1194.11
2.78,13.73,424.5,64.8,76.9,2267.46,4499.55,20,5.0,22.4,72.6,Zinc,Secondary,Europe,3.68,0.27,189.32
18.04,11.11,717.3,96.9,66.5,3167.84,4041.77,6,24.1,4.9,71.0,Titanium,Primary,North America,3.44,0.29,287.62
11.5,8.47,1341.7,71.4,93.2,8374.52,5907.31,28,2.5,36.4,61.1,Steel,Secondary,North America,4.74,0.39,602.66
19.87,13.18,972.8,92.5,86.8,9213.01,5034.43,10,25.0,48.4,26.6,Iron Ore,Secondary,North America,6.27,0.73,1027.69
3.33,2.83,842.6,51.7,63.2,1098.62,713.14,2,12.6,28.5,58.9,Steel,Secondary,South America,3.95,0.41,67.32
11.97,12.07,722.0,11.7,84.7,1167.29,4895.83,24,45.6,11.8,42.6,Iron Ore,Secondary,Africa,5.41,0.57,189.69
19.45,2.75,1191.6,52.8,84.8,9975.65,848.32,13,19.9,42.2,37.9,Steel,Secondary,Oceania,5.65,0.62,1677.49
11.42,12.12,1155.4,12.7,96.3,4427.13,1622.83,25,31.7,42.7,25.6,Iron Ore,Secondary,Europe,6.61,0.74,602.71
13.33,4.86,331.3,59.2,60.1,3851.54,4075.75,7,43.0,36.6,20.4,Copper,Secondary,Europe,5.78,0.8,244.4
14.52,13.28,948.8,48.2,69.4,10308.3,11426.85,8,49.2,30.8,20.0,Steel,Secondary,Africa,6.08,0.8,1891.7
10.18,14.22,1111.4,62.3,95.3,7950.69,3679.61,23,25.2,43.4,31.4,Steel,Secondary,South America,6.29,0.69,1549.16
13.3,3.08,1144.9,1.0,95.4,3757.92,343.52,16,22.8,8.2,69.0,Iron Ore,Secondary,South America,4.41,0.31,301.97
12.52,7.48,428.1,19.5,87.4,1214.13,5624.11,11,3.8,46.6,49.6,Aluminum,Secondary,Africa,5.14,0.5,189.04
18.22,14.73,1487.1,49.1,89.1,15602.06,3696.53,26,0.6,47.4,52.0,Aluminum,Secondary,Africa,5.07,0.48,2750.5
2.82,7.77,60.1,95.1,63.5,167.68,3292.64,4,30.4,43.6,26.0,Copper,Primary,Asia,5.6,0.74,21.96
7.06,13.09,716.1,38.4,79.5,6638.21,1452.05,17,3.3,12.5,84.2,Titanium,Secondary,South America,3.18,0.16,653.85
19.11,9.24,1562.6,42.4,68.8,12349.63,2448.19,16,19.0,42.9,38.1,Titanium,Secondary,North America,5.16,0.62,1503.98
18.02,6.25,1132.1,71.5,66.9,6410.69,5020.36,19,0.2,24.9,74.9,Copper,Secondary,Europe,3.26,0.25,813.13
10.2,5.0,529.7,60.4,90.8,2898.37,4070.88,23,30.8,29.7,39.5,Titanium,Secondary,South America,5.75,0.6,319.1
13.16,3.85,1393.0,29.9,65.1,770.59,949.91,27,21.3,42.0,36.7,Zinc,Secondary,Africa,5.12,0.63,146.01
6.99,11.67,1139.1,41.1,77.8,1913.15,4307.61,11,6.4,1.5,92.1,Zinc,Primary,North America,2.73,0.08,309.13
5.39,6.41,1594.5,21.8,95.7,974.74,1137.94,7,14.8,18.1,67.1,Zinc,Secondary,Asia,4.52,0.33,84.02
10.35,8.16,1472.7,96.6,67.1,6536.62,982.99,27,28.5,40.8,30.7,Lead,Primary,Oceania,5.48,0.69,900.97
8.36,7.89,1224.1,13.1,97.2,1740.71,7831.32,13,32.8,40.7,26.5,Lead,Secondary,Asia,6.59,0.74,266.86
12.51,9.08,981.5,37.2,97.8,6908.0,6109.15,19,23.1,42.4,34.5,Zinc,Primary,North America,6.21,0.66,490.63
3.4,13.12,275.0,2.6,81.1,2076.08,7412.69,17,40.2,8.5,51.3,Iron Ore,Primary,North America,4.87,0.49,215.42
19.54,14.73,530.1,22.2,66.5,6509.55,11448.5,26,5.6,35.3,59.1,Aluminum,Secondary,Africa,4.04,0.41,1209.68
19.75,6.71,844.0,78.0,72.0,1645.41,5690.57,25,4.2,7.3,88.5,Copper,Primary,Oceania,2.73,0.12,222.26
14.57,12.59,1202.6,20.1,76.1,1244.15,10278.21,28,2.2,39.3,58.5,Iron Ore,Primary,Africa,4.36,0.42,102.7
11.65,11.7,1032.3,8.0,71.8,874.1,768.84,22,26.8,12.3,60.9,Zinc,Secondary,Europe,4.11,0.39,59.8
7.57,9.03,583.5,47.4,70.7,5693.92,2054.03,13,35.3,36.9,27.8,Copper,Primary,Oceania,5.73,0.72,727.31
16.65,14.38,22.9,1.0,96.9,5862.62,9665.66,29,6.5,22.8,70.7,Aluminum,Primary,Oceania,4.37,0.29,774.76
14.33,3.81,997.5,8.5,65.8,11556.93,1550.56,12,31.9,49.3,18.8,Titanium,Primary,Europe,6.03,0.81,1157.57
4.93,2.53,578.4,80.8,87.9,2268.52,2487.9,7,23.8,29.0,47.2,Iron Ore,Secondary,Asia,5.28,0.53,327.94
18.4,12.96,1471.9,77.1,60.0,8838.41,8840.46,1,49.4,31.6,19.0,Aluminum,Secondary,North America,5.85,0.81,532.98
16.81,7.15,57.7,91.5,82.7,9030.98,6854.86,1,35.9,18.4,45.7,Copper,Secondary,Asia,5.2,0.54,648.16
19.1,12.86,1173.8,85.5,94.8,13892.96,3104.07,20,32.9,36.7,30.4,Steel,Secondary,Africa,6.32,0.7,1833.05
15.06,13.5,1883.5,68.3,70.9,4666.01,11755.25,23,28.5,24.7,46.8,Iron Ore,Primary,South America,4.79,0.53,276.57
13.04,1.87,357.1,5.2,67.0,2158.22,664.38,14,49.9,0.9,49.2,Lead,Secondary,Africa,4.55,0.51,393.09
9.53,13.37,948.6,78.3,84.8,5510.77,13237.46,27,49.0,30.4,20.6,Copper,Primary,South America,6.51,0.79,393.04
18.79,7.28,191.9,84.6,87.1,6776.21,1454.57,15,26.9,41.5,31.6,Copper,Secondary,North America,6.03,0.68,1023.8
17.59,8.15,1255.1,79.9,86.1,8273.75,4405.26,11,22.8,11.8,65.4,Lead,Secondary,North America,4.31,0.35,899.2
2.81,9.77,1105.6,50.8,72.1,1867.52,7847.29,24,23.1,11.1,65.8,Aluminum,Primary,Oceania,3.87,0.34,205.37
2.47,13.97,820.7,23.3,69.6,1282.97,6440.31,26,21.4,30.4,48.2,Copper,Primary,North America,4.68,0.52,211.35
8.78,1.27,1047.5,84.5,96.3,5612.75,628.24,9,26.6,40.9,32.5,Iron Ore,Secondary,Europe,6.26,0.68,701.14
16.59,7.68,1794.2,72.7,95.1,9406.36,7580.45,17,13.7,12.5,73.8,Zinc,Secondary,Europe,4.16,0.26,1494.18
19.77,10.63,400.6,98.1,77.4,14882.99,4826.47,4,46.3,46.6,7.1,Lead,Secondary,South America,6.97,0.93,1871.96
4.71,11.12,54.9,15.6,92.2,3394.21,6937.42,20,24.5,46.4,29.1,Iron Ore,Secondary,Asia,6.31,0.71,471.58
12.69,10.7,1724.7,22.6,77.2,7074.43,1089.4,19,42.1,10.0,47.9,Lead,Secondary,Oceania,4.92,0.52,1160.96
8.86,2.88,1158.5,21.2,76.1,6157.33,2448.29,7,23.8,13.2,63.0,Copper,Primary,Asia,4.13,0.37,868.78
19.46,5.19,1782.4,79.3,66.0,17122.5,3455.29,1,35.9,35.0,29.1,Aluminum,Secondary,South America,5.52,0.71,2437.26
17.16,6.02,1197.9,18.7,76.2,7904.89,2611.59,9,16.8,47.6,35.6,Iron Ore,Primary,Europe,5.51,0.64,1331.05
17.09,12.26,1622.2,6.7,80.4,7555.91,801.33,13,31.2,35.5,33.3,Steel,Secondary,Africa,5.75,0.67,1453.48
10.44,4.9,865.0,99.9,60.9,8101.79,2999.22,24,24.9,22.2,52.9,Zinc,Secondary,Oceania,4.18,0.47,862.9
9.47,3.95,1502.2,2.5,76.9,5714.45,245.0,2,18.4,8.5,73.1,Lead,Primary,South America,3.65,0.27,780.41
6.92,14.4,1827.0,83.5,89.7,812.8,736.47,2,44.1,23.1,32.8,Titanium,Secondary,Asia,6.05,0.67,51.16
3.01,1.12,1148.5,36.5,85.8,2701.49,711.53,24,5.6,30.3,64.1,Aluminum,Primary,South America,4.37,0.36,280.47
17.57,14.97,369.8,84.2,84.1,1392.32,3436.61,27,24.3,16.5,59.2,Aluminum,Primary,South America,4.56,0.41,155.67
16.63,10.48,544.9,55.5,94.6,12655.04,2434.43,15,9.7,25.5,64.8,Titanium,Secondary,North America,4.6,0.35,2218.25
19.99,12.6,405.3,90.2,60.7,15409.38,8449.66,17,43.1,6.5,50.4,Titanium,Primary,Europe,4.3,0.5,1957.13
19.94,5.12,501.2,92.6,81.2,19051.78,517.18,13,12.7,22.6,64.7,Iron Ore,Secondary,Oceania,4.2,0.35,3041.81
12.0,1.2,619.8,0.9,89.9,1217.13,417.28,7,31.7,4.5,63.8,Copper,Secondary,North America,4.51,0.36,64.33
15.84,11.33,1114.7,7.5,80.6,9773.5,2174.91,9,8.3,2.5,89.2,Copper,Secondary,Europe,2.96,0.11,1169.63
19.01,12.68,1180.1,25.0,72.3,8677.09,7622.8,12,20.2,42.9,36.9,Steel,Secondary,South America,5.32,0.63,1606.98
17.29,11.37,858.7,66.9,65.2,6295.31,7716.56,3,45.0,10.3,44.7,Zinc,Secondary,Europe,4.72,0.55,526.58
6.45,3.0,1234.7,88.8,93.7,875.93,2205.24,23,8.3,28.8,62.9,Lead,Secondary,Asia,4.67,0.37,47.94
10.11,11.55,172.3,46.0,77.9,5909.51,3378.02,22,33.2,7.4,59.4,Copper,Secondary,Oceania,4.37,0.41,679.66
4.32,11.76,184.7,60.7,93.4,2181.98,1585.1,15,10.2,13.1,76.7,Steel,Primary,North America,3.97,0.23,339.66
19.17,10.22,351.9,18.8,82.3,2862.59,1274.94,7,20.8,18.1,61.1,Steel,Secondary,Oceania,4.41,0.39,338.27
12.91,11.73,1041.0,80.5,85.6,8157.38,5335.32,23,27.0,7.2,65.8,Aluminum,Primary,South America,4.28,0.34,970.7
6.12,12.84,435.8,96.7,90.6,4596.46,12179.41,26,28.9,2.3,68.8,Aluminum,Secondary,Asia,4.28,0.31,691.63
14.09,9.59,573.7,26.9,85.0,10974.9,2463.12,1,30.1,43.9,26.0,Zinc,Secondary,Europe,6.25,0.74,967.53
13.13,2.24,806.6,49.5,75.1,11949.67,658.35,14,32.0,0.6,67.4,Iron Ore,Primary,Europe,3.88,0.33,1945.21
8.45,7.83,1625.6,8.6,79.5,3709.53,1141.96,19,13.6,3.1,83.3,Titanium,Primary,Asia,3.22,0.17,270.67
4.04,2.09,37.6,55.9,90.5,3859.89,1306.86,16,20.1,40.3,39.6,Titanium,Primary,Europe,5.74,0.6,422.13
14.09,6.71,1302.3,50.3,74.2,12288.71,4669.35,10,1.9,14.1,84.0,Zinc,Primary,North America,3.03,0.16,1823.66
11.37,6.7,1341.1,14.4,74.7,3771.16,4427.26,1,38.4,36.1,25.5,Steel,Secondary,Africa,5.97,0.74,657.14
15.9,1.92,1599.3,44.2,63.6,3200.97,1666.7,5,41.9,7.3,50.8,Zinc,Secondary,Europe,4.37,0.49,540.1
11.36,5.88,1866.2,33.4,94.8,5266.72,3011.17,3,10.0,11.9,78.1,Titanium,Primary,South America,3.94,0.22,833.47
17.34,2.55,50.1,52.2,63.5,7487.48,453.22,17,10.1,28.6,61.3,Steel,Secondary,Europe,3.84,0.39,777.68
11.93,12.32,316.0,58.6,84.6,7121.41,4003.2,18,2.1,49.4,48.5,Titanium,Primary,Oceania,5.11,0.52,486.72
12.1,14.27,1773.5,0.8,75.7,7311.02,9693.73,26,48.5,3.7,47.8,Iron Ore,Primary,South America,4.88,0.52,603.34
17.78,2.01,922.5,76.1,75.4,13557.03,1271.26,21,40.4,20.0,39.6,Aluminum,Primary,Europe,5.28,0.6,2436.54
9.26,14.37,1133.5,71.3,85.8,4948.5,7967.49,27,18.0,2.2,79.8,Aluminum,Primary,Europe,3.58,0.2,883.8
4.41,8.32,1329.4,36.6,62.5,659.65,5814.15,19,24.1,10.0,65.9,Steel,Primary,South America,3.58,0.34,127.14
2.52,5.19,1361.3,5.3,82.6,2180.75,3402.16,22,14.6,45.4,40.0,Zinc,Secondary,North America,5.48,0.6,133.89
15.59,2.08,1864.2,75.5,89.3,5367.27,1845.5,25,29.9,4.8,65.3,Titanium,Primary,Africa,4.41,0.35,700.54
13.17,8.01,1993.9,95.5,91.5,12810.89,4859.79,22,35.9,42.8,21.3,Copper,Primary,Africa,6.68,0.79,1887.08
14.67,12.12,1443.1,24.0,66.5,2376.06,9570.82,18,22.4,8.9,68.7,Iron Ore,Secondary,North America,3.56,0.31,372.09
5.83,10.9,581.6,32.4,94.1,5598.77,3120.36,16,43.7,43.1,13.2,Titanium,Primary,Europe,7.16,0.87,820.66
4.45,1.7,1760.7,18.4,84.9,607.25,1180.26,2,25.9,26.9,47.2,Lead,Primary,Africa,5.19,0.53,100.5
2.26,2.02,107.9,57.7,93.5,609.03,1832.31,15,7.2,43.9,48.9,Copper,Secondary,North America,5.36,0.51,63.29
8.31,6.64,469.9,15.5,78.4,783.23,2765.2,13,31.1,7.6,61.3,Iron Ore,Secondary,North America,4.29,0.39,60.24
12.62,5.13,1795.8,35.6,80.6,9084.6,4053.46,13,23.1,38.1,38.8,Iron Ore,Secondary,Africa,5.48,0.61,733.01
9.06,4.25,519.8,69.7,94.9,7771.52,3138.84,16,46.8,34.0,19.2,Aluminum,Secondary,South America,6.89,0.81,402.54
9.87,4.93,449.1,56.0,94.2,4563.57,525.29,8,19.6,27.1,53.3,Steel,Secondary,Asia,5.16,0.47,467.99
18.27,12.25,284.9,38.6,77.0,17029.39,7379.8,11,20.1,40.5,39.4,Titanium,Primary,South America,5.34,0.61,1085.82
8.27,14.01,1719.6,42.0,70.4,5051.18,2433.26,8,32.5,32.4,35.1,Iron Ore,Primary,Europe,5.36,0.65,496.14
11.25,6.67,1005.1,56.2,74.9,7295.7,6462.92,22,26.3,43.9,29.8,Titanium,Primary,South America,5.76,0.7,1052.27
16.11,13.69,1353.0,0.6,74.7,13744.22,11237.26,10,18.7,19.1,62.2,Iron Ore,Secondary,Oceania,4.13,0.38,2531.3
9.14,5.5,485.7,7.9,70.9,3034.12,848.31,23,49.5,29.5,21.0,Zinc,Secondary,Asia,6.08,0.79,533.83
13.2,7.67,1518.5,88.1,70.2,5102.49,1270.65,1,15.1,43.5,41.4,Aluminum,Secondary,Asia,5.04,0.59,448.51
17.52,4.16,1522.4,7.8,92.7,15954.66,2557.36,12,13.9,10.7,75.4,Steel,Secondary,North America,4.01,0.25,1118.62
19.09,9.97,632.1,70.7,62.7,17293.92,3765.12,9,43.2,24.3,32.5,Copper,Secondary,Oceania,5.26,0.68,1365.54
4.65,14.71,827.3,92.0,85.7,4546.11,1223.29,5,0.2,48.0,51.8,Copper,Secondary,Europe,4.98,0.48,889.44
18.68,9.45,427.3,27.1,66.6,16938.02,5335.09,9,10.1,23.7,66.2,Zinc,Primary,North America,3.69,0.34,2242.95
10.86,6.01,1953.4,37.0,73.1,1857.1,2514.9,16,29.5,12.6,57.9,Lead,Secondary,South America,4.3,0.42,143.69
6.65,10.07,1294.7,56.9,62.3,5536.38,1470.45,18,8.1,17.6,74.3,Aluminum,Primary,South America,3.15,0.26,975.02
10.26,2.72,1869.7,88.2,70.3,4507.7,2208.16,8,49.3,44.3,6.4,Iron Ore,Primary,Africa,6.79,0.94,492.6
19.64,13.44,613.7,94.2,89.2,19468.37,12355.7,23,23.2,47.7,29.1,Aluminum,Primary,North America,6.22,0.71,3599.38
10.87,8.04,1566.0,74.0,93.6,5420.51,6180.86,11,29.9,47.5,22.6,Steel,Secondary,Oceania,6.68,0.77,482.98
7.92,7.29,1534.1,8.7,68.4,4563.06,6060.19,20,8.0,34.9,57.1,Copper,Secondary,North America,4.2,0.43,497.3
13.4,9.2,1386.4,66.9,77.6,7414.03,2352.13,19,14.5,25.5,60.0,Titanium,Secondary,North America,4.33,0.4,932.26
6.32,9.75,1931.6,41.0,77.9,2247.71,2928.84,4,30.7,9.1,60.2,Copper,Secondary,North America,4.33,0.4,413.34
3.37,2.0,793.2,47.1,93.2,408.68,496.2,20,27.5,6.2,66.3,Lead,Secondary,Asia,4.48,0.34,73.69
4.32,10.56,270.1,4.9,89.0,3891.75,8203.12,26,39.2,3.0,57.8,Lead,Primary,Africa,4.78,0.42,529.87
4.3,4.39,1346.7,19.1,79.5,3493.93,4172.79,10,13.5,0.9,85.6,Lead,Primary,Europe,3.1,0.14,290.93
4.73,11.0,1461.3,79.1,85.5,863.46,8040.95,24,32.7,43.9,23.4,Lead,Secondary,Europe,6.4,0.77,95.42
4.5,12.52,1154.4,45.4,92.2,3545.68,11110.17,13,14.5,40.5,45.0,Steel,Primary,Europe,5.52,0.55,696.18
13.54,12.26,421.6,30.2,60.4,8727.27,8051.93,29,29.3,28.4,42.3,Iron Ore,Primary,Asia,4.7,0.58,1231.99
5.27,8.74,1013.9,38.4,75.3,2311.88,3655.74,20,30.3,49.9,19.8,Aluminum,Secondary,Africa,6.27,0.8,386.46
8.22,8.28,631.3,85.4,94.5,2394.65,3763.04,14,6.1,47.7,46.2,Copper,Primary,Oceania,5.52,0.54,281.32
18.14,3.0,860.7,74.9,88.1,15722.71,364.67,21,27.4,32.8,39.8,Lead,Primary,Africa,5.65,0.6,2040.82
10.53,11.85,1294.0,27.2,80.6,7530.83,946.63,2,0.6,23.2,76.2,Copper,Secondary,Asia,3.61,0.24,861.1
14.02,4.8,1493.0,11.8,80.1,7996.35,3411.37,29,25.1,7.6,67.3,Lead,Primary,Oceania,4.04,0.33,1242.94
5.1,7.95,472.1,25.2,73.2,3208.36,3708.73,4,34.9,25.8,39.3,Titanium,Secondary,North America,5.23,0.61,570.19
5.46,4.98,816.6,92.1,79.8,745.36,2861.53,7,3.6,7.9,88.5,Aluminum,Secondary,South America,2.97,0.12,93.99
2.74,2.87,545.6,58.2,84.9,1370.61,1663.96,19,46.9,19.9,33.2,Titanium,Secondary,North America,5.89,0.67,167.39
5.04,9.81,405.3,53.3,75.9,1179.44,3075.5,17,22.9,47.1,30.0,Titanium,Primary,Europe,5.78,0.7,119.17
7.01,1.76,1568.9,59.6,87.1,1738.23,883.69,16,46.9,17.1,36.0,Lead,Primary,North America,5.81,0.64,133.09
5.19,11.48,1819.4,36.6,92.7,3520.06,5708.11,13,5.4,7.6,87.0,Iron Ore,Primary,Asia,3.43,0.13,671.93
3.6,5.45,746.8,80.7,65.9,3296.5,2283.58,24,47.5,29.1,23.4,Copper,Secondary,Europe,5.81,0.77,321.12
4.17,1.0,1505.0,52.3,77.2,1807.98,829.64,24,5.5,30.1,64.4,Zinc,Primary,South America,4.1,0.36,307.54
10.29,8.16,1795.0,11.7,75.5,2545.35,3905.42,22,23.1,9.7,67.2,Aluminum,Primary,Oceania,3.9,0.33,400.39
5.71,1.66,1693.8,12.9,86.1,3804.63,1034.95,23,46.9,9.8,43.3,Iron Ore,Secondary,Oceania,5.42,0.57,641.6
8.56,4.87,373.8,53.7,69.5,7512.49,4386.62,26,11.6,49.5,38.9,Zinc,Secondary,Europe,5.14,0.61,1431.24
11.06,10.9,1913.0,93.7,84.3,8415.59,9514.85,27,1.7,12.2,86.1,Iron Ore,Secondary,North America,3.22,0.14,1207.68
14.43,1.88,759.6,30.8,93.3,12630.86,1684.29,18,39.7,41.9,18.4,Lead,Primary,Africa,6.88,0.82,2332.83
2.71,12.75,685.1,87.0,75.9,1516.86,3907.94,21,29.8,23.5,46.7,Lead,Secondary,Africa,4.94,0.53,114.0
16.39,1.05,134.2,76.4,94.6,12526.59,87.4,12,25.7,21.7,52.6,Iron Ore,Primary,Oceania,5.21,0.47,1803.92
13.3,4.46,977.5,24.8,97.7,2434.72,1329.14,23,1.7,14.7,83.6,Steel,Secondary,Africa,3.75,0.16,403.78
3.47,11.37,226.9,3.6,64.0,1321.59,3578.96,25,32.7,38.7,28.6,Steel,Secondary,Europe,5.49,0.71,119.93
17.72,5.43,504.6,10.2,68.9,7443.67,4962.44,1,8.6,44.0,47.4,Iron Ore,Secondary,Africa,4.7,0.53,1199.27
18.58,2.43,640.7,72.8,96.1,9953.88,1620.28,15,46.6,13.1,40.3,Steel,Secondary,Asia,5.87,0.6,1660.02
3.1,6.04,1619.6,20.0,96.4,2891.13,770.82,3,34.3,4.8,60.9,Aluminum,Primary,Oceania,4.85,0.39,505.02
6.98,4.79,1752.2,37.1,63.7,6146.46,855.54,6,35.4,6.8,57.8,Copper,Primary,South America,4.02,0.42,595.79
16.51,12.8,611.9,50.2,60.6,2935.47,2533.02,14,11.6,39.6,48.8,Zinc,Primary,Africa,4.38,0.51,446.9
15.47,5.39,1718.8,72.5,66.1,3312.9,3497.57,23,44.0,21.8,34.2,Lead,Secondary,Asia,5.27,0.66,316.84
5.32,12.05,1715.9,11.3,97.8,2073.52,9021.15,6,26.9,6.6,66.5,Aluminum,Primary,Asia,4.61,0.34,333.54
5.77,13.49,1531.7,40.6,66.8,1882.21,11691.27,1,42.9,17.0,40.1,Copper,Secondary,Europe,5.0,0.6,224.82
8.67,7.07,301.9,48.5,79.1,5497.06,6671.29,20,13.5,25.7,60.8,Steel,Secondary,Oceania,4.33,0.39,767.56
10.72,13.74,1383.7,54.1,92.2,9729.87,3319.85,6,37.8,42.6,19.6,Zinc,Primary,Europe,6.79,0.8,1093.4
13.13,6.28,1890.6,81.8,60.8,12659.64,2162.1,8,28.7,32.1,39.2,Aluminum,Secondary,South America,4.86,0.61,940.58
8.64,14.5,1368.3,17.2,83.0,5796.77,4035.45,26,2.4,8.8,88.8,Titanium,Secondary,South America,3.05,0.11,444.64
10.33,2.25,669.9,80.8,70.5,8741.78,879.35,15,20.3,7.9,71.8,Lead,Primary,North America,3.53,0.28,538.8
15.45,10.62,1006.2,69.3,92.8,8481.16,9759.06,14,9.2,20.6,70.2,Iron Ore,Primary,South America,4.27,0.3,1210.35
2.66,7.91,1295.0,55.6,70.8,659.44,4717.18,16,18.0,3.8,78.2,Lead,Secondary,Oceania,3.21,0.22,116.92
6.54,6.43,1026.0,70.0,86.1,3586.89,4830.75,20,19.2,37.8,43.0,Copper,Primary,Oceania,5.43,0.57,190.56
14.84,9.86,248.7,41.2,85.6,8567.55,5083.95,23,23.7,20.1,56.2,Copper,Secondary,Europe,4.76,0.44,513.5
18.11,10.85,631.0,13.8,68.4,13679.11,839.95,16,30.0,17.2,52.8,Titanium,Primary,Asia,4.41,0.47,1622.62
11.21,1.06,1606.8,66.6,61.3,2902.14,117.64,27,28.5,25.5,46.0,Titanium,Secondary,North America,4.54,0.54,466.25
11.58,3.34,1724.2,52.5,75.6,4630.78,1873.83,19,1.9,35.4,62.7,Iron Ore,Secondary,South America,4.13,0.37,341.09
3.93,10.98,283.2,63.9,71.0,1555.6,8046.69,24,37.5,28.5,34.0,Steel,Secondary,Asia,5.43,0.66,141.17
10.05,10.33,1905.2,33.8,90.7,9662.75,2629.65,1,47.5,40.1,12.4,Lead,Primary,Europe,7.1,0.88,819.41
11.59,14.52,664.4,90.7,90.4,5467.56,10684.02,4,17.4,31.5,51.1,Aluminum,Primary,Africa,5.16,0.49,600.65
6.36,11.65,1328.0,58.7,77.4,4880.28,9554.54,24,9.0,39.4,51.6,Aluminum,Secondary,North America,4.74,0.48,408.72
6.85,14.31,1506.1,8.5,83.0,5228.41,6315.04,10,27.0,34.8,38.2,Aluminum,Primary,Oceania,5.58,0.62,537.95
8.79,10.84,1625.8,45.0,83.0,2656.93,8228.63,20,35.2,9.7,55.1,Steel,Primary,Asia,4.73,0.45,423.2
2.36,5.17,1892.0,75.6,91.4,1400.13,2242.89,18,33.9,2.6,63.5,Lead,Primary,Europe,4.57,0.36,198.33
7.8,2.48,632.7,79.4,76.2,7016.78,1722.19,2,30.6,45.2,24.2,Lead,Secondary,Europe,6.08,0.76,436.28
5.81,11.95,1718.4,49.5,70.5,2913.35,9270.78,4,7.3,47.3,45.4,Iron Ore,Primary,North America,4.84,0.55,424.36
7.89,10.02,272.1,89.5,70.1,7478.63,9943.15,15,41.8,36.3,21.9,Aluminum,Primary,North America,6.01,0.78,909.11
4.16,1.67,1413.0,26.8,80.4,1055.54,631.47,29,21.3,36.2,42.5,Copper,Primary,South America,5.29,0.57,200.75
18.03,6.04,1486.5,41.1,77.1,2171.73,2660.55,4,11.1,13.5,75.4,Copper,Secondary,South America,3.54,0.25,202.83
12.68,14.4,1358.7,89.9,76.7,11372.45,2985.68,16,4.3,27.1,68.6,Copper,Secondary,Oceania,3.87,0.31,1807.37
14.22,8.01,512.1,89.6,63.5,12162.33,1953.39,15,20.8,49.6,29.6,Titanium,Secondary,Oceania,5.42,0.7,1941.46
16.21,7.06,1747.4,68.6,87.3,16095.89,5003.6,18,30.9,42.8,26.3,Titanium,Primary,North America,6.3,0.74,1339.58
10.97,7.41,346.0,85.9,68.1,7628.8,6826.04,7,33.3,15.2,51.5,Steel,Secondary,North America,4.47,0.48,1415.02
3.56,3.92,116.7,8.9,67.5,3345.88,1665.51,15,48.1,15.1,36.8,Aluminum,Primary,Asia,5.18,0.63,413.81
11.67,6.16,1437.8,86.5,75.7,9751.47,1360.45,22,7.7,24.2,68.1,Titanium,Primary,South America,3.87,0.32,1480.59
12.56,6.18,956.2,32.1,68.7,10703.7,1982.82,11,49.3,20.2,30.5,Copper,Secondary,Europe,5.54,0.7,769.36
15.42,1.73,1699.7,17.8,82.2,9108.35,834.38,19,32.7,18.6,48.7,Titanium,Primary,South America,5.03,0.51,807.64
9.77,11.75,773.0,23.9,74.1,4037.42,3831.88,8,22.7,31.3,46.0,Lead,Secondary,South America,4.92,0.54,556.83
4.3,6.83,344.9,41.8,77.1,4032.67,1857.08,24,44.4,0.6,55.0,Copper,Primary,North America,4.56,0.45,394.61
7.11,12.51,1674.5,25.1,80.4,3274.24,9372.31,1,34.7,38.2,27.1,Aluminum,Primary,North America,6.06,0.73,409.13
8.54,12.9,1102.3,32.1,67.7,4798.44,741.14,3,17.4,37.0,45.6,Lead,Primary,South America,4.75,0.54,509.12
13.63,3.97,386.5,13.5,65.9,6458.01,2232.21,5,44.2,41.5,14.3,Steel,Primary,Africa,6.26,0.86,943.41
12.27,10.2,1443.6,29.6,93.5,7197.3,8201.6,18,33.3,42.1,24.6,Iron Ore,Primary,Africa,6.57,0.75,885.78
8.41,7.61,1027.1,57.2,76.5,4179.6,2305.2,12,34.9,28.3,36.8,Iron Ore,Secondary,Oceania,5.46,0.63,211.87
19.76,13.32,1212.6,44.2,75.7,1888.45,8300.05,12,44.8,39.0,16.2,Lead,Secondary,South America,6.46,0.84,278.46
